,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
325,000850,ANHUI HUAMAO TEXTI,4.37,1.16%,0.05,67743000.0,296037000.0,4077000000.0,17.71%,135.29,0.03,4298.0,Process Industries
326,000851,GOHIGH NETWORKS CO,5.34,-0.93%,-0.05,18025000.0,96252000.0,6098000000.0,-0.97%,233.19,0.03,1097.0,Electronic Technology
327,000852,SINOPEC OILFIELD E,7.52,-2.59%,-0.20,11771000.0,88515000.0,7378000000.0,10.12%,107.28,0.07,5020.0,Producer Manufacturing
328,000856,TANGSHAN JIDONG EQ,8.89,-0.34%,-0.03,5631000.0,50057000.0,2025000000.0,-6.60%,130.54,0.07,1747.0,Producer Manufacturing
329,000858,WULIANGYE YIBIN CO,177.18,0.17%,0.30,8680000.0,1538000000.0,686576000000.0,-0.06%,24.21,7.32,25464.0,Consumer Non-Durables
330,000859,ANHUI GUOFENG NEW,5.42,-1.28%,-0.07,4687000.0,25402000.0,4919000000.0,-23.43%,34.74,0.16,1390.0,Process Industries
331,000860,BEIJING SHUNXIN AG,27.98,0.14%,0.04,3931000.0,109993000.0,20725000000.0,20.95%,N/A,-0.61,4462.0,Process Industries
332,000861,GUANGDONG HIGHSUN,2.14,0.00%,0.00,48313000.0,103389000.0,5345000000.0,-18.70%,N/A,-0.23,N/A,Finance
333,000862,NING XIA YIN XING,7.28,-1.36%,-0.10,5861000.0,42665000.0,5211000000.0,9.01%,33.49,0.22,N/A,Utilities
334,000863,SANXIANG IMPRESSIO,3.93,-1.26%,-0.05,26239000.0,103119000.0,4522000000.0,8.60%,441.57,0.01,N/A,Finance
335,000868,ANHUI ANKAI AUTOMO,5.64,-0.70%,-0.04,14602000.0,82356000.0,5336000000.0,32.55%,N/A,-0.31,2024.0,Consumer Durables
336,000869,YANTAI CHANG YU PI,32.49,-0.28%,-0.09,1119000.0,36366000.0,17297000000.0,10.89%,53.68,0.61,2270.0,Consumer Non-Durables
337,000875,JILIN ELECTRIC POW,5.26,-0.94%,-0.05,11968000.0,62952000.0,14816000000.0,-20.39%,19.31,0.27,4512.0,Utilities
338,000876,NEW HOPE LIUHE CO,12.11,-1.06%,-0.13,12791000.0,154898000.0,54749000000.0,-17.26%,N/A,-0.06,77328.0,Process Industries
339,000877,XINJIANG T/SHAN CE,8.61,0.00%,0.00,5386000.0,46377000.0,74592000000.0,-21.23%,32.60,0.26,67956.0,Non-Energy Minerals
340,000878,YUNNAN COPPER CO.,11.80,-1.58%,-0.19,15939000.0,188078000.0,24024000000.0,22.80%,11.20,1.05,9041.0,Non-Energy Minerals
341,000880,WEICHAI HEAVY MACH,10.24,-0.49%,-0.05,1770000.0,18121000.0,3409000000.0,12.58%,23.76,0.43,2400.0,Producer Manufacturing
342,000881,CGN NUCLEAR TECHNO,7.92,-0.88%,-0.07,3576000.0,28324000.0,7554000000.0,-5.36%,55.50,0.14,4560.0,Producer Manufacturing
343,000882,BEIJ. HUAL. DEP.,1.94,0.00%,0.00,58365000.0,113228000.0,5310000000.0,7.78%,N/A,-0.07,1838.0,Finance
344,000883,HUBEI ENERGY GR CO,4.60,-0.86%,-0.04,12351000.0,56814000.0,30257000000.0,-6.20%,32.28,0.14,4507.0,Producer Manufacturing
345,000885,CITY DEVELOPMENT E,12.43,-0.16%,-0.02,3563000.0,44286000.0,7994000000.0,25.13%,7.01,1.77,3754.0,Consumer Durables
346,000886,HAINAN EXPRESSWAY,5.23,-0.95%,-0.05,6795000.0,35536000.0,5221000000.0,29.41%,20.85,0.25,N/A,Industrial Services
347,000887,ANHUI ZHONGDING SE,13.14,-1.65%,-0.22,11495000.0,151049000.0,17461000000.0,-35.87%,17.73,0.74,21443.0,Producer Manufacturing
348,000888,EMEI SHAN TOURISM,10.77,-2.00%,-0.22,7471000.0,80464000.0,5791000000.0,56.11%,N/A,-0.15,1981.0,Consumer Services
349,000889,ZJBC INFORMATION T,1.94,-0.51%,-0.01,13407000.0,26009000.0,1823000000.0,-5.34%,N/A,-0.08,3855.0,Consumer Services
350,000890,JIANGSU FASTEN CO,5.12,-4.66%,-0.25,62949000.0,322300000.0,2253000000.0,18.81%,N/A,-0.03,N/A,Producer Manufacturing
351,000892,H AND R CENTURY UN,4.06,-3.10%,-0.13,23613000.0,95869000.0,4110000000.0000005,26.59%,N/A,-0.06,N/A,Electronic Technology
352,000893,ASIA-POTASH INTERN,27.14,2.07%,0.55,7779000.0,211134000.0,24706000000.0,-13.73%,11.07,2.46,3540.0,Non-Energy Minerals
353,000895,HENAN SHUANG INVE,25.44,0.20%,0.05,7642000.0,194419000.0,87968000000.0,-38.66%,15.60,1.63,43669.0,Consumer Non-Durables
354,000897,TIANJIN JINBIN DEV,2.69,2.28%,0.06,80157000.0,215624000.0,4253000000.0,13.36%,20.89,0.13,N/A,Finance
355,000898,ANGANG STEEL CO LT,3.05,-0.65%,-0.02,18990000.0,57919000.0,27292000000.0,2.51%,N/A,-0.16,29303.0,Non-Energy Minerals
356,000899,JIANGXI GANNENG CO,8.47,-1.17%,-0.10,5041000.0,42699000.0,8362000000.0,-18.92%,481.25,0.02,N/A,Utilities
357,000900,XIANDAI INVEST CO,4.23,-0.70%,-0.03,6294000.0,26623000.0,6466000000.0,1.91%,14.10,0.30,3472.0,Transportation
358,000901,AEROSPACE HI-TECH,9.88,-2.27%,-0.23,13290000.0,131300999.99999999,8070000000.0,6.09%,364.58,0.03,6386.0,Producer Manufacturing
