,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
340,1617,NANFANG COMMUNICATION HOLDINGS LTD,0.122,1.67%,0.002,392000.0,47824.0,195149000.0,3.45%,N/A,-0.01,N/A,Producer Manufacturing
341,1620,CINESE INTERNATIONAL GROUP HOLDINGS,0.099,1.02%,0.001,30000.0,2970.0,117600000.0,-24.62%,N/A,-0.01,N/A,Consumer Services
342,1623,HILONG HOLDING LIMITED,0.200,-0.99%,-0.002,697000.0,139400.0,342681000.0,-69.85%,2.08,0.10,3245.0,Industrial Services
343,1626,JIA YAO HOLDINGS LTD,4.40,-1.12%,-0.05,854000.0,3758000.0,2670000000.0,764.08%,289.47,0.02,1275.0,Process Industries
344,1627,ABLE ENGINEERING HOLDINGS LTD,0.445,0.00%,0.000,16000.0,7120.0,890000000.0,18.67%,5.11,0.09,N/A,Consumer Durables
345,1628,YUZHOU GROUP HOLDINGS COMPANY LTD,0.209,-3.24%,-0.007,4994000.0,1044000.0,1412000000.0,-40.00%,N/A,-2.09,1985.0,Finance
346,1630,KIN SHING HOLDINGS LTD,0.051,-20.31%,-0.013,10794000.0,550494.0,96000000.0,-25.58%,6.46,0.01,N/A,Industrial Services
347,1631,REF HOLDINGS LIMITED,0.350,2.94%,0.010,95000.0,33250.0,87040000.0,-31.31%,8.03,0.04,N/A,Commercial Services
348,1632,MINSHANG CREATIVE TECH HLDGS LTD,0.265,0.00%,0.000,64000.0,16960.0,236718000.0,-42.39%,N/A,-0.00,N/A,Distribution Services
349,1638,KAISA GROUP HOLDINGS LIMITED,0.240,3.90%,0.009,6394000.0,1535000.0,1621000000.0,-72.50%,N/A,,N/A,Finance
350,164,CHINA BAOLI TECHNOLOGIES HLDGS LTD,0.74,-7.50%,-0.06,29500.0,21830.0,67201000.0,-35.41%,N/A,-0.39,N/A,Distribution Services
351,1640,RUICHENG (CHINA) MEDIA GROUP LTD,0.320,1.59%,0.005,146000.0,46720.0,126000000.0,-30.00%,N/A,-0.03,N/A,Commercial Services
352,1643,MODERN CHINESE MEDICINE GRP CO LTD,0.485,4.30%,0.020,18000.0,8730.0,279000000.0,5.68%,2.83,0.17,N/A,Health Technology
353,1645,HAINA INTELLIGENT EQUIPMENT INTL HL,1.11,2.78%,0.03,1096000.0,1217000.0,609094000.0,16.13%,N/A,-0.01,N/A,Producer Manufacturing
354,1647,GRANDSHORES TECH GP LTD,0.051,0.00%,0.000,140000.0,7140.0,60947000.0,-48.48%,N/A,-0.03,N/A,Industrial Services
355,165,CHINA EVERBRIGHT LIMITED,4.98,-0.20%,-0.01,564000.0,2809000.0,8409000000.000001,-14.26%,N/A,-4.42,N/A,Finance
356,1650,HYGIEIA GROUP LTD,0.055,0.00%,0.000,472000.0,25960.0,110000000.0,-29.49%,N/A,-0.00,1500.0,Commercial Services
357,1651,PRECISION TSUGAMI (CHINA) CORP LTD,9.02,-0.11%,-0.01,34000.0,306680.0,3439000000.0,3.79%,5.18,1.74,2238.0,Producer Manufacturing
358,1652,FUSEN PHARMACEUTICAL CO LTD,1.43,-2.05%,-0.03,512000.0,732160.0,1101000000.0,53.68%,N/A,-0.05,1159.0,Health Technology
359,1655,OKURA HOLDINGS LTD,0.76,8.57%,0.06,4914000.0,3735000.0,420000000.0,102.41%,N/A,,N/A,Finance
360,166,NEW TIMES ENERGY CORP LTD,0.116,3.57%,0.004,251000.0,29116.0,981230000.0,-26.72%,3.56,0.03,N/A,Distribution Services
